model,activity,trim_condition,frame_count,prompt_type,view,file,test_type,n,observed_accuracy,test_statistic,p_value,significant_at_0.05
qwen,dance,trimmed,16,binary,exo,diss_dance/results/qwen/trimmed/qwen_dance_trimmed_n16_binary.csv,binomial,50,0.5,0.5,1.0,no
qwen,dance,trimmed,8,binary,ego,diss_dance/results/qwen/trimmed/qwen_dance_trimmed_n8_binary.csv,binomial,50,0.5,0.5,1.0,no
qwen,dance,trimmed,8,binary,exo,diss_dance/results/qwen/trimmed/qwen_dance_trimmed_n8_binary.csv,binomial,50,0.5,0.5,1.0,no
qwen,dance,entire,16,fourclass,ego,diss_dance/results/qwen/qwen_dance_entire_n16_fourclass.csv,chi-squared,100,0.25,300.0,9.948758346327588e-65,yes
qwen,dance,entire,16,fourclass,exo,diss_dance/results/qwen/qwen_dance_entire_n16_fourclass.csv,chi-squared,100,0.33,100.08,1.4938055395246327e-21,yes
qwen,dance,entire,8,fourclass,ego,diss_dance/results/qwen/qwen_dance_entire_n8_fourclass.csv,chi-squared,100,0.25,300.0,9.948758346327588e-65,yes
qwen,dance,entire,8,fourclass,exo,diss_dance/results/qwen/qwen_dance_entire_n8_fourclass.csv,chi-squared,100,0.31,109.68,1.2858824321809374e-23,yes
qwen,dance,trimmed,16,fourclass,ego,diss_dance/results/qwen/trimmed/qwen_dance_trimmed_n16_fourclass.csv,chi-squared,100,0.25,300.0,9.948758346327588e-65,yes
qwen,dance,trimmed,16,fourclass,exo,diss_dance/results/qwen/trimmed/qwen_dance_trimmed_n16_fourclass.csv,chi-squared,100,0.34,102.0,5.773224468444906e-22,yes
qwen,dance,trimmed,8,fourclass,ego,diss_dance/results/qwen/trimmed/qwen_dance_trimmed_n8_fourclass.csv,chi-squared,100,0.25,300.0,9.948758346327588e-65,yes
qwen,dance,trimmed,8,fourclass,exo,diss_dance/results/qwen/trimmed/qwen_dance_trimmed_n8_fourclass.csv,chi-squared,100,0.32,103.92,2.230841728078382e-22,yes
qwen,dance,entire,16,reasoning,ego,diss_dance/results/qwen/qwen_dance_entire_n16_reasoning.csv,chi-squared,100,0.25,300.0,9.948758346327588e-65,yes
qwen,dance,entire,16,reasoning,exo,diss_dance/results/qwen/qwen_dance_entire_n16_reasoning.csv,chi-squared,100,0.25,97.04,6.727526240216714e-21,yes
qwen,dance,entire,8,reasoning,ego,diss_dance/results/qwen/qwen_dance_entire_n8_reasoning.csv,chi-squared,100,0.25,292.08,5.149963785202372e-63,yes
qwen,dance,entire,8,reasoning,exo,diss_dance/results/qwen/qwen_dance_entire_n8_reasoning.csv,chi-squared,100,0.28,35.28,1.0631006632366268e-07,yes
